Dag,Day,Dag meneer, hoe gaat het,Good day sir, how are you
experimenten,experiments,De experimenten zijn succesvol verlopen,The experiments have been successful
Institute,Institute,Het Institute doet onderzoek naar klimaatverandering,The Institute researches climate change
welvaart,prosperity,De welvaart in het land is toegenomen,Prosperity in the country has increased
operationeel,operational,Het systeem is sinds gisteren operationeel,The system has been operational since yesterday
fris,fresh,Het brood is vers en fris,The bread is fresh
trio,trio,Het trio speelde een mooi stuk,The trio played a beautiful piece
Barcelona,Barcelona,Barcelona is een prachtige stad,Barcelona is a beautiful city
rue,street (French),Rue is Frans voor straat,Rue is French for street
Claus,Claus,Claus is een Duitse achternaam,Claus is a German surname
proef,test,De proef was succesvol,The test was successful
medewerking,cooperation,Hartelijk dank voor uw medewerking,Thank you for your cooperation
Hierdoor,Because of this,Hierdoor is het project vertraagd,Because of this the project has been delayed
zorgden,cared for,Zij zorgden voor de kinderen,They cared for the children
grootte,size,De grootte van het huis is tweehonderd vierkante meter,The size of the house is two hundred square meters
befaamde,famous,Het is een befaamde universiteit,It is a famous university
ingrepen,interventions,De ingrepen waren noodzakelijk,The interventions were necessary
uitgesteld,postponed,De vergadering is uitgesteld,The meeting has been postponed
verhandeld,traded,De aandelen worden verhandeld op de beurs,The shares are traded on the stock exchange
their,their (English),Their is een Engels bezittelijk voornaamwoord,Their is an English possessive pronoun
Groot,Great,Groot-Brittannie is een eiland,Great Britain is an island
plicht,duty,Het is mijn plicht om te helpen,It is my duty to help
academische,academic,Zij heeft een academische achtergrond,She has an academic background
chauffeurs,drivers,De chauffeurs wachten op de passagiers,The drivers are waiting for the passengers
training,training,De training begint om negen uur,The training starts at nine o'clock
zwaarder,heavier,Deze koffer is zwaarder dan die,This suitcase is heavier than that one
charme,charm,Zij heeft veel charme,She has a lot of charm
Turnhout,Turnhout,Turnhout ligt in de provincie Antwerpen,Turnhout is located in the province of Antwerp
Alcatel,Alcatel,Alcatel was een Frans telecombedrijf,Alcatel was a French telecom company
Delcroix,Delcroix,Delcroix is een Belgische achternaam,Delcroix is a Belgian surname
NS,NS,De NS is de Nederlandse spoorwegen,The NS is the Dutch railways
verzorgd,cared for,De patienten worden goed verzorgd,The patients are well cared for
Chili,Chili,Chili is een langgerekt land in Zuid-Amerika,Chili is a long country in South America
Plan,Plan,Het plan is goedgekeurd door de raad,The plan has been approved by the council
verzameld,gathered,De gegevens zijn verzameld,The data has been gathered
terugkeren,return,Zij zullen morgen terugkeren,They will return tomorrow
drukte,busyness,De drukte in de stad is groot,The busyness in the city is great
orders,orders,De orders zijn binnen,The orders have come in
provinciale,provincial,De provinciale overheid heeft besloten,The provincial government has decided
republieken,republics,De republieken werkten samen,The republics worked together
virtuele,virtual,Virtuele realiteit wordt steeds populairder,Virtual reality is becoming more popular
lastig,difficult,Het is een lastig probleem,It is a difficult problem
bankiers,bankers,De bankiers vergaderden over de rente,The bankers met about the interest rate
pleiten,plead,Zij pleiten voor meer geld,They plead for more money
psychologische,psychological,Psychologische hulp is belangrijk,Psychological help is important
netto,net,Het netto salaris is duizend euro,The net salary is one thousand euros
expositie,exhibition,De expositie loopt nog tot zondag,The exhibition runs until Sunday
zeventien,seventeen,Zeventien is een oneven getal,Seventeen is an odd number
paleis,palace,Het paleis is open voor publiek,The palace is open to the public
beurskoers,stock price,De beurskoers is gestegen,The stock price has risen
Standard,Standard,Standard is een Belgische voetbalclub,Standard is a Belgian football club
Cie,Co,Cie is een afkorting voor compagnie,Co is an abbreviation for company
opgevangen,caught,De bal werd opgevangen door de keeper,The ball was caught by the goalkeeper
KLM,KLM,KLM is de Nederlandse luchtvaartmaatschappij,KLM is the Dutch airline
Trouwens,By the way,Trouwens, ik heb je boek nog,By the way, I still have your book
nadrukkelijk,explicitly,Hij wees nadrukkelijk op het gevaar,He explicitly pointed out the danger
dusver,so far,Voor zover ik weet is het goed,As far as I know it is good
nadelen,disadvantages,Er zijn nadelen aan dit plan,There are disadvantages to this plan
boze,angry,De boze klant diende een klacht in,The angry customer filed a complaint
route,route,De route naar het station is duidelijk,The route to the station is clear
operationele,operational,De operationele kosten zijn laag,The operational costs are low
recepten,recipes,Zij verzamelt oude recepten,She collects old recipes
Bossche,Bossche,Bossche bol is een lekker gebakje,Bossche bol is a delicious pastry
Ofwel,Or,Ofwel je gaat mee, ofwel je blijft thuis,Either you come along, or you stay home
Gates,Gates,Bill Gates is de oprichter van Microsoft,Bill Gates is the founder of Microsoft
Haagse,of The Hague,De Haagse politiek is complex,The politics of The Hague is complex
Big,Big,Big is een Engels woord,Big is an English word
Allemaal,All,Allemaal bedankt voor jullie komst,Thank you all for coming
vice-premier,deputy prime minister,De vice-premier nam deel aan het debat,The deputy prime minister participated in the debate
woestijn,desert,De woestijn is droog en heet,The desert is dry and hot
Ann,Ann,Ann is een meisjesnaam,Ann is a girl's name
KBC,KBC,KBC is een Belgische bank,KBC is a Belgian bank
opgeroepen,called up,Hij is opgeroepen voor het leger,He was called up for the army
officier,officer,De officier gaf de soldaten bevelen,The officer gave commands to the soldiers
jasje,jacket,Zijn jasje hangt aan de kapstok,His jacket hangs on the coat rack
etiket,label,Het etiket geeft de ingrediënten,The label shows the ingredients
besprekingen,discussions,De besprekingen duren nog voort,The discussions are still ongoing
uitstel,delay,Er is uitstel gevraagd voor het project,A delay has been requested for the project
Sedert,Since,Sedert vorige week is hij ziek,Since last week he is ill
OP,OP,OP is een afkorting,OP is an abbreviation
VEV,VEV,VEV was een Vlaamse werkgeversorganisatie,VEV was a Flemish employers organization
platteland,countryside,Het platteland is rustig,The countryside is quiet
meubilair,furniture,Het meubilair wordt volgende week geleverd,The furniture will be delivered next week
dekken,cover,De inkomsten dekken de kosten,The revenues cover the costs
individueel,individual,Elk lid krijgt individuele begeleiding,Each member receives individual guidance
Cultuur,Culture,Cultuur is belangrijk voor de samenleving,Culture is important for society
lanceert,launches,Het bedrijf lanceert een nieuw product,The company launches a new product
opeenvolgende,successive,Het was de derde opeenvolgende overwinning,It was the third successive victory
Komt,Comes,Komt hij vanavond eten,Is he coming for dinner tonight
Velde,Velde,Velde is een veelvoorkomende achternaam,Velde is a common surname
spiegel,mirror,De spiegel hangt aan de muur,The mirror hangs on the wall
geruime,considerable,Het duurde geruime tijd,It took a considerable time
uitermate,extremely,Het was uitermate interessant,It was extremely interesting
DDR,GDR,De DDR was de Duitse Democratische Republiek,The GDR was the German Democratic Republic
pot,pot,De pot staat op het vuur,The pot is on the fire
stuur,steering wheel,Het stuur van de auto is links,The steering wheel of the car is on the left
raam,window,Het raam staat open,The window is open
antwoordt,answers,Hij antwoordt altijd beleefd,He always answers politely
Gimv,Gimv,Gimv is een Belgische investeringsmaatschappij,Gimv is a Belgian investment company
linkse,left-wing,De linkse partijen wonnen zetels,The left-wing parties gained seats
merkwaardig,curious,Het is een merkwaardig verhaal,It is a curious story
Ooit,Ever,Ooit was dit een groot rijk,Once this was a great empire
opmars,advance,De opmars van de technologie is snel,The advance of technology is fast
overeenstemming,agreement,Zij bereikten overeenstemming over de prijs,They reached agreement on the price
Star,Star,Star is een Engels woord,Star is an English word
renteverschil,interest rate difference,Het renteverschil is groot,The interest rate difference is large
gestort,deposited,Het geld is op de rekening gestort,The money has been deposited into the account
verspreiden,spread,Zij verspreiden de informatie via e-mail,They spread the information via email
ge,given (abbreviation),Ge is een afkorting voor gezien,Ge is an abbreviation for seen
plafond,ceiling,Het plafond is wit geverfd,The ceiling is painted white
oplevert,yields,Dit project levert veel winst op,This project yields a lot of profit
zogenaamd,so-called,De zogenaamde expert wist niets,The so-called expert knew nothing
afkomst,origin,Zijn afkomst is Nederlands,His origin is Dutch
statistieken,statistics,De statistieken tonen een stijging,The statistics show an increase
Gaat,Goes,Gaat het goed met je,Are you doing well
zakelijke,business,Zakelijke relaties zijn belangrijk,Business relationships are important
zinnen,sentences,De zinnen in het boek zijn kort,The sentences in the book are short
Sport,Sport,Sport is goed voor de gezondheid,Sport is good for health
Kruis,Cross,Het Rode Kruis helpt mensen in nood,The Red Cross helps people in need
gedicht,poem,Zij schreef een mooi gedicht,She wrote a beautiful poem
dynamische,dynamic,Het is een dynamische organisatie,It is a dynamic organization
Vande,Vande,Vande is een begin van veel Vlaamse achternamen,Vande is the start of many Flemish surnames
werkende,working,Werkende ouders hebben het druk,Working parents are busy
biologische,biological,Biologische groenten zijn gezond,Biological vegetables are healthy
uitmaakt,matters,Het maakt niet uit wat je kiest,It does not matter what you choose
Enkel,Only,Enkel de beste wijn wordt geserveerd,Only the best wine is served
jacht,hunt,De jacht op herten is in dit gebied verboden,The hunt for deer is forbidden in this area
tegenstander,opponent,Zijn tegenstander was sterker,His opponent was stronger
kunstwerk,work of art,Het kunstwerk hangt in het museum,The work of art hangs in the museum
voorhand,available,Er is geen geld voorhand,There is no money available
Technology,Technology,Technology verandert de wereld,Technology changes the world
liberalisering,liberalization,De liberalisering van de markt is doorgevoerd,The liberalization of the market has been implemented
sterkte,strength,Ik wens je sterkte met je examen,I wish you strength with your exam
honden,dogs,De honden blaffen luid,The dogs bark loudly
lading,load,De lading van het schip is zwaar,The load of the ship is heavy
duiken,dive,Zij duiken in het zwembad,They dive into the swimming pool
Bond,Bond,James Bond is een beroemde spion,James Bond is a famous spy
elkaars,each other's,Zij kennen elkaars familie,They know each other's family
verdachten,suspects,De verdachten worden verhoord,The suspects are being interrogated
Christus,Christ,Christus is de centrale figuur in het christendom,Christ is the central figure in Christianity
strakke,tight,Zij droeg een strakke jurk,She wore a tight dress
probeerden,tried,Zij probeerden het probleem op te lossen,They tried to solve the problem
bankier,banker,De bankier adviseerde over investeringen,The banker advised on investments
