DUTCH_WORD,ENGLISH_WORD,DUTCH_PHRASE,ENGLISH_PHRASE
de,the,De kat zit op de mat,The cat is on the mat
van,of,Dit cadeau is van oma,This gift is from grandma
een,a,Ik zie een hond,I see a dog
het,the,Het huis is groot,The house is big
en,and,Ik drink thee en water,I drink tea and water
in,in,De sleutel ligt in de tas,The key is in the bag
is,is,Vandaag is het koud,Today it is cold
dat,that,Ik denk dat het klopt,I think that it is correct
op,on,Het boek ligt op tafel,The book is on the table
te,to,Ik ga te voet naar school,I go to school on foot
De,the,De deur is open,The door is open
zijn,to be,Wij willen op tijd zijn,We want to be on time
voor,for,Deze bloemen zijn voor jou,These flowers are for you
met,with,Ik ga met mijn vriend,I go with my friend
die,that,Ken je die leraar,Do you know that teacher
niet,not,Ik begrijp het niet,I do not understand it
aan,on,Het licht staat aan,The light is on
er,there,Er staat koffie op tafel,There is coffee on the table
om,at,We beginnen om acht uur,We start at eight oclock
Het,it,Het regent vandaag,It is raining today
ook,also,Hij komt ook mee,He is coming too
als,if,Als je tijd hebt bel me,If you have time call me
dan,then,Eerst eten dan werken,First eat then work
maar,but,Ik wil mee maar ik ben moe,I want to join but I am tired
bij,at,Ik werk bij de bakker,I work at the bakery
of,or,Wil je thee of koffie,Do you want tea or coffee
uit,out,Ze komt uit Nederland,She comes from the Netherlands
nog,still,Ik ben nog niet klaar,I am still not ready
worden,to become,Ik wil dokter worden,I want to become a doctor
door,through,We lopen door het park,We walk through the park
naar,to,Ik ga naar huis,I am going home
heeft,has,Zij heeft een nieuwe fiets,She has a new bike
tot,until,De winkel is open tot zes uur,The shop is open until six
ze,they,Ze wonen in Utrecht,They live in Utrecht
wordt,becomes,Het water wordt warm,The water becomes warm
over,about,We praten over school,We talk about school
hij,he,Hij leest elke avond,He reads every evening
In,in,In de zomer zwem ik vaak,In summer I swim often
meer,more,Ik wil meer oefenen,I want to practice more
jaar,year,Volgend jaar reis ik meer,Next year I will travel more
was,was,Het eten was lekker,The food was tasty
ik,I,Ik leer elke dag Nederlands,I study Dutch every day
kan,can,Ik kan je helpen,I can help you
je,you,Hoe gaat het met je,How are you
zich,oneself,Hij wast zich snel,He washes himself quickly
al,already,Ben je al thuis,Are you home already
hebben,to have,Wij willen meer tijd hebben,We want to have more time
geen,no,Ik heb geen geld bij me,I have no money with me
hun,their,Hun huis staat naast ons huis,Their house is next to ours
we,we,We koken vanavond samen,We are cooking together tonight
wat,what,Wat wil je eten,What do you want to eat
Een,a,Een appel per dag is gezond,An apple a day is healthy
Maar,but,Maar ik heb nu geen tijd,But I have no time now
werd,became,Het werd ineens stil,It suddenly became quiet
