locaties,locations,De locaties zijn geheim,The locations are secret
Noord-Ierland,Northern Ireland,Noord-Ierland is een mooi land,Northern Ireland is a beautiful country
Vermeulen,Vermeulen,Meneer Vermeulen is de directeur,Mr. Vermeulen is the director
Hubert,Hubert,Hubert woont in Brussel,Hubert lives in Brussels
Recticel,Recticel,Recticel maakt schuimrubber,Recticel makes foam rubber
Reserve,reserve,Hij heeft een reserveplan,He has a reserve plan
laboratorium,laboratorium,Het laboratorium is gesloten,The laboratory is closed
Akzo,Akzo,Akzo is een Nederlands bedrijf,Akzo is a Dutch company
motie,motion,De motie is aangenomen,The motion was adopted
Hoog,high,De berg is heel hoog,The mountain is very high
handelingen,actions,De handelingen zijn eenvoudig,The actions are simple
winkelen,shopping,Winkelen is leuk,Shopping is fun
medaille,medal,Hij won een gouden medaille,He won a gold medal
voortbestaan,survival,Het voortbestaan is onzeker,The survival is uncertain
verfijnde,refined,Hij heeft verfijnde smaak,He has refined taste
aangevallen,attacked,De stad werd aangevallen,The city was attacked
gekleed,dressed,Zij is mooi gekleed,She is beautifully dressed
briljante,brilliant,Het was een briljante actie,It was a brilliant action
artiest,artist,De artiest treedt vanavond op,The artist performs tonight
koele,cool,Het is een koele avond,It is a cool evening
emotie,emotion,Hij toonde zijn emotie,He showed his emotion
secundair,secondary,Dat is secundair,That is secondary
ISBN,ISBN,Het ISBN is 1234567890,The ISBN is 1234567890
Anthony,Anthony,Anthony komt uit Engeland,Anthony comes from England
obligatiemarkt,bond market,De obligatiemarkt is stabiel,The bond market is stable
ABB,ABB,ABB is een Zweeds bedrijf,ABB is a Swedish company
Lissabon,Lisbon,Lissabon is de hoofdstad van Portugal,Lisbon is the capital of Portugal
EMI,EMI,EMI is een platenmaatschappij,EMI is a record company
Ieper,Ypres,Ieper is een stad in België,Ypres is a city in Belgium
ontevreden,dissatisfied,De klant is ontevreden,The customer is dissatisfied
ontdekten,discovered,Zij ontdekten de waarheid,They discovered the truth
berust,resigns,Hij berust in zijn lot,He resigns to his fate
feitelijk,factual,De feitelijke situatie is anders,The factual situation is different
sales,sales,De sales zijn gestegen,The sales have increased
Republikeinse,Republican,De Republikeinse partij wint,The Republican party wins
bevel,order,Hij gaf een bevel,He gave an order
Andersen,Andersen,Meneer Andersen is de directeur,Mr. Andersen is the director
toetsen,keys,De toetsen van de piano zijn wit,The keys of the piano are white
gekenmerkt,characterized,Het wordt gekenmerkt door eenvoud,It is characterized by simplicity
Doel,goal,Dat is mijn doel,That is my goal
Schotse,Scottish,De Schotse man draagt een kilt,The Scottish man wears a kilt
wethouders,aldermen,De wethouders vergaderen vandaag,The aldermen meet today
gestalte,figure,Hij heeft een indrukwekkende gestalte,He has an impressive figure
Uitgeverij,publishing house,De uitgeverij publiceert boeken,The publishing house publishes books
vermoedt,suspects,Hij vermoedt de waarheid,He suspects the truth
afschaffing,abolition,De afschaffing van de slavernij was belangrijk,The abolition of slavery was important
Oeso,OECD,De Oeso analyseert de economie,The OECD analyzes the economy
atmosfeer,atmosphere,De atmosfeer is vriendelijk,The atmosphere is friendly
alsmaar,continually,Het regent alsmaar,It rains continually
Politieke,political,De politieke situatie is complex,The political situation is complex
bereiding,preparation,De bereiding duurt een uur,The preparation takes an hour
VW,VW,VW maakt auto's in Duitsland,VW makes cars in Germany
ongevallen,accidents,Er zijn veel ongevallen op de weg,There are many accidents on the road
schilderkunst,painting,De schilderkunst is mooi,The painting is beautiful
Kennedy,Kennedy,Kennedy was een beroemde president,Kennedy was a famous president
wijngaarden,vineyards,De wijngaarden liggen in Frankrijk,The vineyards are in France
Noord-Amerika,North America,Noord-Amerika is een groot continent,North America is a large continent
maffia,mafia,De maffia is machtig in Sicilië,The mafia is powerful in Sicily
Restaurant,restaurant,Het restaurant is vol,The restaurant is full
Sint-Niklaas,Sint-Niklaas,Sint-Niklaas is een stad in België,Sint-Niklaas is a city in Belgium
Vietnamese,Vietnamese,Hij is Vietnamese,He is Vietnamese
spontane,spontaneous,Het was een spontane reactie,It was a spontaneous reaction
malaise,malaise,De economische malaise duurt voort,The economic malaise continues
opeens,suddenly,Opeens begon het te regenen,Suddenly it started raining
Kerk,church,De kerk is heel oud,The church is very old
navolging,imitation,Hij doet het in navolging van zijn vader,He does it in imitation of his father
aangekocht,purchased,Hij heeft een huis aangekocht,He purchased a house
gedekt,covered,De tafel is gedekt,The table is covered
autoriteit,authority,Hij heeft autoriteit,He has authority
telefoonnummer,phone number,Mijn telefoonnummer is 123456,My phone number is 123456
voldaan,satisfied,De klant is voldaan,The customer is satisfied
salaris,salary,Zijn salaris is hoog,His salary is high
overblijft,remains,Wat overblijft is belangrijk,What remains is important
dorpje,village,Het dorpje is klein,The village is small
executive,executive,Hij is een executive,He is an executive
campagnes,campaigns,De campagnes waren succesvol,The campaigns were successful
verzekert,insures,Hij verzekert zijn auto,He insures his car
Bayer,Bayer,Bayer maakt medicijnen,Bayer makes medicine
Algerijnse,Algerian,De Algerijnse keuken is lekker,The Algerian cuisine is tasty
Communications,communications,Hij werkt in communications,He works in communications
meesters,masters,De meesters zijn ervaren,The masters are experienced
Nicolas,Nicolas,Nicolas is mijn vriend,Nicolas is my friend
soldaat,soldier,De soldaat marcheert,The soldier marches
Mary,Mary,Mary leest een boek,Mary reads a book
resten,remains,De resten van het kasteel zijn oud,The remains of the castle are old
driekwart,three-quarters,Driekwart van de mensen stemde,Three-quarters of the people voted
Maurits,Maurits,Maurits is een Nederlandse naam,Maurits is a Dutch name
mededeling,announcement,De mededeling is belangrijk,The announcement is important
twintigtal,about twenty,Er zijn een twintigtal mensen,There are about twenty people
Koop,buy,Koop dat boek,Buy that book
overvallen,robberies,Er zijn veel overvallen,There are many robberies
boekhandel,bookstore,De boekhandel is gesloten,The bookstore is closed
vervroegd,early,De vergadering is vervroegd,The meeting is early
bestanden,files,De bestanden zijn opgeslagen,The files are saved
coördinatie,coordination,De coördinatie is goed,The coordination is good
stapje,step,Neem een stapje naar voren,Take a step forward
uitweg,way out,Er is geen uitweg,There is no way out
ondertekenen,sign,Onderteken het document hier,Sign the document here
opbrengsten,revenues,De opbrengsten zijn hoog,The revenues are high
afgelegd,covered,Hij heeft de afstand afgelegd,He has covered the distance
vaders,fathers,De vaders wachten op hun kinderen,The fathers wait for their children
scholieren,students,De scholieren gaan naar school,The students go to school
zelfvertrouwen,self-confidence,Hij heeft veel zelfvertrouwen,He has a lot of self-confidence
onthaald,received,Zij werd hartelijk onthaald,She was warmly received
Société,Société,La Société Générale is een bank,La Société Générale is a bank
South,South,South Africa is een mooi land,South Africa is a beautiful country
Trade,trade,International trade is belangrijk,International trade is important
matig,moderate,De prijs is matig,The price is moderate
Edward,Edward,Edward is de koning,Edward is the king
paste,fitted,De jas paste perfect,The coat fitted perfectly
aangevraagd,applied,Hij heeft een visum aangevraagd,He applied for a visa
nagedacht,thought,Heb je nagedacht over het probleem,Have you thought about the problem
ochtends,in the morning,'s Ochtends drink ik koffie,In the morning I drink coffee
schattingen,estimates,De schattingen zijn optimistisch,The estimates are optimistic
bevonden,found,De schat werd bevonden,The treasure was found
omvangrijke,extensive,Het is een omvangrijk project,It is an extensive project
twijfelt,doubts,Hij twijfelt aan het plan,He doubts the plan
Mag,may,Mag ik naar buiten,May I go outside
dozen,boxes,De dozen zijn zwaar,The boxes are heavy
klank,sound,De klank van de piano is mooi,The sound of the piano is beautiful
suggereert,suggests,Het rapport suggereert verbetering,The report suggests improvement
alom,everywhere,Er is alom vreugde,There is joy everywhere
voorgoed,forever,Hij vertrekt voorgoed,He leaves forever
bronzen,bronze,Het bronzen beeld is oud,The bronze statue is old
toonden,showed,Zij toonden hun werk,They showed their work
Orkest,orchestra,Het orkest speelt prachtig,The orchestra plays beautifully
euforie,euphoria,De euforie was groot,The euphoria was great
Shop,shop,De shop is open,The shop is open
kweken,grow,Zij kweken groenten,They grow vegetables
bevestigde,confirmed,Hij bevestigde het nieuws,He confirmed the news
bevoegde,competent,De bevoegde autoriteit beslist,The competent authority decides
lunch,lunch,De lunch is om twaalf uur,Lunch is at twelve o'clock
compenseren,compensate,Zij moeten de schade compenseren,They must compensate the damage
structureel,structural,Er is een structureel probleem,There is a structural problem
specialiteit,specialty,De specialiteit van het huis is vis,The specialty of the house is fish
Interim,interim,Hij is interim-manager,He is an interim manager
them,them,Give it to them,Give it to them
